阳光商业机动车辆保险,4145,31,男,2298000,2017-07-25,1657,新直销
机动车交通事故责任强制保险,257,44,男,902000,2017-07-18,896,专属卖场
阳光商业机动车辆保险,3144,44,男,902000,2017-07-18,1553,专属卖场
阳光商业机动车辆保险,2182,43,男,870000,2017-07-17,6120,直销
机动车交通事故责任强制保险,2361,43,男,870000,2017-07-17,726,直销
机动车交通事故责任强制保险,3569,50,男,848000,2017-07-08,627,直销
阳光商业机动车辆保险,3614,50,男,848000,2017-07-08,10250,直销
阳光商业机动车辆保险,1701,40,男,745500,2017-07-01,7017,专属卖场
阳光商业机动车辆保险,4261,48,女,688000,2017-07-12,1005,专属卖场
机动车交通事故责任强制保险,1309,,未说明,653000,2017-07-06,849,直销
阳光商业机动车辆保险,658,38,女,648000,2017-07-12,8860,直销
机动车交通事故责任强制保险,1210,47,女,639000,2017-07-14,934,直销
阳光商业机动车辆保险,1565,42,女,600000,2017-07-15,1013,直销
机动车交通事故责任强制保险,1755,42,女,600000,2017-07-15,807,直销
机动车交通事故责任强制保险,738,42,男,594600,2017-07-23,627,直销
阳光商业机动车辆保险,1121,42,男,594600,2017-07-23,1553,直销
机动车交通事故责任强制保险,3253,46,女,548000,2017-07-13,627,直销
阳光商业机动车辆保险,2363,,未说明,528000,2017-07-01,8426,直销
机动车交通事故责任强制保险,2635,,未说明,528000,2017-07-01,726,直销
阳光商业机动车辆保险,4002,0,男,528000,2017-07-21,6423,直销
阳光商业机动车辆保险,284,,未说明,490000,2017-07-03,3872,直销
机动车交通事故责任强制保险,2693,,未说明,490000,2017-07-03,3549,直销
阳光商业机动车辆保险,1204,,未说明,480000,2017-07-05,1074,直销
机动车交通事故责任强制保险,3587,29,男,468000,2017-07-13,896,直销
阳光商业机动车辆保险,121,47,女,435000,2017-07-10,4796,专属卖场
机动车交通事故责任强制保险,3382,48,女,435000,2017-07-10,627,专属卖场
机动车交通事故责任强制保险,218,41,男,433000,2017-07-03,896,专属卖场
机动车交通事故责任强制保险,3519,35,男,419800,2017-07-28,726,新直销
阳光商业机动车辆保险,4480,35,男,419800,2017-07-28,1180,新直销
阳光商业机动车辆保险,142,26,男,410500,2017-07-26,3540,新直销
机动车交通事故责任强制保险,521,26,男,410500,2017-07-26,627,新直销
机动车交通事故责任强制保险,2603,37,男,406000,2017-07-20,717,直销
阳光商业机动车辆保险,2855,37,男,406000,2017-07-20,4479,直销
阳光商业机动车辆保险,243,,未说明,399300,2017-07-10,3494,直销
机动车交通事故责任强制保险,3855,,未说明,399300,2017-07-10,660,直销
阳光商业机动车辆保险,125,43,男,394500,2017-07-28,5990,新直销
机动车交通事故责任强制保险,2118,40,男,394500,2017-07-03,627,直销
阳光商业机动车辆保险,461,,未说明,385000,2017-07-20,1422,互动
机动车交通事故责任强制保险,634,,未说明,385000,2017-07-17,4226,直销
阳光商业机动车辆保险,3215,,未说明,385000,2017-07-17,23951,直销
机动车交通事故责任强制保险,431,0,男,384500,2017-07-17,755,直销
阳光商业机动车辆保险,2289,0,男,384500,2017-07-17,4090,直销
机动车交通事故责任强制保险,3796,,未说明,380000,2017-07-06,3804,直销
阳光商业机动车辆保险,1725,34,男,378500,2017-07-15,3069,新直销
机动车交通事故责任强制保险,3809,34,男,378500,2017-07-15,627,新直销
阳光商业机动车辆保险,1717,29,男,377000,2017-07-14,3960,互动
阳光商业机动车辆保险,503,29,男,376800,2017-07-20,4670,直销
机动车交通事故责任强制保险,3350,29,男,376800,2017-07-20,627,直销
机动车交通事故责任强制保险,1943,43,男,368000,2017-07-04,896,新直销
机动车交通事故责任强制保险,4024,51,男,368000,2017-07-17,830,新直销
阳光商业机动车辆保险,467,,未说明,367000,2017-07-20,3704,直销
机动车交通事故责任强制保险,1014,,未说明,367000,2017-07-20,660,直销
机动车交通事故责任强制保险,2439,,未说明,365000,2017-07-25,4226,直销
阳光商业机动车辆保险,4140,,未说明,365000,2017-07-25,19844,直销
阳光商业机动车辆保险,1445,32,男,360000,2017-07-02,945,直销
机动车交通事故责任强制保险,3514,32,男,360000,2017-07-02,717,直销
机动车交通事故责任强制保险,3825,44,女,355000,2017-07-24,627,专属卖场
阳光商业机动车辆保险,1269,29,男,354500,2017-07-22,835,互动
机动车交通事故责任强制保险,3613,29,男,354500,2017-07-22,627,互动
机动车交通事故责任强制保险,1304,,未说明,354000,2017-07-24,3804,直销
阳光商业机动车辆保险,109,,未说明,352000,2017-07-10,21912,直销
机动车交通事故责任强制保险,810,31,男,351800,2017-07-10,934,直销
阳光商业机动车辆保险,4497,31,男,351800,2017-07-10,1005,直销
机动车交通事故责任强制保险,1806,45,男,351000,2017-07-20,896,新直销
阳光商业机动车辆保险,3631,45,男,351000,2017-07-20,1192,新直销
阳光商业机动车辆保险,1002,39,男,350000,2017-07-14,4367,新直销
机动车交通事故责任强制保险,1646,,未说明,350000,2017-07-04,4226,直销
阳光商业机动车辆保险,1991,,未说明,350000,2017-07-04,20795,直销
阳光商业机动车辆保险,665,,未说明,340000,2017-07-05,9317,直销
阳光商业机动车辆保险,1340,37,男,336000,2017-07-05,5900,新直销
机动车交通事故责任强制保险,2573,37,男,336000,2017-07-05,896,新直销
阳光商业机动车辆保险,1931,,未说明,335000,2017-07-19,18864,直销
机动车交通事故责任强制保险,3369,,未说明,335000,2017-07-19,4226,直销
阳光商业机动车辆保险,3039,,未说明,320000,2017-07-05,20310,直销
机动车交通事故责任强制保险,4459,,未说明,320000,2017-07-05,4226,直销
机动车交通事故责任强制保险,1833,33,男,316800,2017-07-27,896,互动
机动车交通事故责任强制保险,414,35,男,310900,2017-07-10,896,直销
阳光商业机动车辆保险,2237,35,男,310900,2017-07-10,2018,直销
阳光商业机动车辆保险,3294,,未说明,310000,2017-07-26,23581,直销
机动车交通事故责任强制保险,4495,,未说明,310000,2017-07-26,4226,直销
机动车交通事故责任强制保险,3358,25,女,309000,2017-07-11,807,专属卖场
阳光商业机动车辆保险,1068,52,女,305000,2017-07-13,8536,新直销
机动车交通事故责任强制保险,1468,52,女,305000,2017-07-13,896,新直销
阳光商业机动车辆保险,570,48,男,300000,2017-07-29,715,直销
机动车交通事故责任强制保险,2784,48,男,300000,2017-07-29,627,直销
阳光商业机动车辆保险,2189,31,男,299900,2017-07-07,3358,直销
机动车交通事故责任强制保险,4371,31,男,299900,2017-07-07,627,直销
阳光商业机动车辆保险,2086,38,男,299800,2017-07-21,2815,新直销
机动车交通事故责任强制保险,4012,38,男,299800,2017-07-21,627,新直销
机动车交通事故责任强制保险,1245,50,男,299000,2017-07-07,896,新直销
阳光商业机动车辆保险,2421,50,男,299000,2017-07-07,4735,新直销
阳光商业机动车辆保险,2373,,未说明,298800,2017-07-18,4306,专属卖场
机动车交通事故责任强制保险,3943,,未说明,298800,2017-07-18,1066,专属卖场
机动车交通事故责任强制保险,2028,,未说明,297000,2017-07-06,4226,直销
